first_name,last_name,position,position_alt,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Jabari,Walker,PF,C,,2024-02-04,,POR,DEN,+13.5,221,103.8,5300,17,15.0,19.8,25.0,24.3,4.58
Norman,Powell,SG,SF,,2024-02-04,,LAC,MIA,-3.5,226,114.8,5000,13,14.0,23.7,27.8,24.0,4.80
Buddy,Hield,SG,SF,,2024-02-04,,IND,CHA,,,,5100,17,10.0,20.2,33.5,24.0,4.71
John,Konchar,PG,SG,Q,2024-02-04,,MEM,BOS,+17,221,102,4900,21,21.0,25.6,31.5,24.0,4.90
Cam,Whitmore,SG,SF,,2024-02-04,,HOU,MIN,,,,4700,2,20.5,33.4,44.3,23.5,5.00
Jalen,Smith,PF,C,Q,2024-02-04,,IND,CHA,,,,4800,18,11.3,27.5,41.0,23.5,4.90
David,Roddy,PF,,,2024-02-04,,MEM,BOS,+17,221,102,4900,10,13.5,21.7,26.8,23.3,4.74
Jaime,Jaquez Jr.,SF,PF,,2024-02-04,,MIA,LAC,+3.5,226,111.3,4900,11,8.3,17.6,26.3,22.5,4.59
Cody,Martin,PG,SG,,2024-02-04,,CHA,IND,,,,4800,8,7.3,19.8,34.5,22.5,4.69
Scotty,Pippen Jr.,PG,,,2024-02-04,,MEM,BOS,+17,221,102,4700,21,5.3,21.5,31.0,22.3,4.73
Mason,Plumlee,C,,,2024-02-04,,LAC,MIA,-3.5,226,114.8,4600,2,12.8,22.3,32.5,22.0,4.78
Gary,Trent Jr.,SG,,,2024-02-04,,TOR,OKC,+9.5,235.5,113,4600,15,11.5,22.4,35.8,21.8,4.73
Walker,Kessler,C,,,2024-02-04,,UTA,MIL,-1,247.5,124.3,4500,28,9.8,20.2,27.3,21.3,4.72
Isaiah,Jackson,C,,,2024-02-04,,IND,CHA,,,,4700,27,3.5,12.4,26.0,21.3,4.52
Gregory,Jackson,SF,PF,,2024-02-04,,MEM,BOS,+17,221,102,4500,8,3.3,17.5,29.5,21.0,4.67
Amen,Thompson,PG,SG,,2024-02-04,,HOU,MIN,,,,4300,3,12.8,26.0,38.8,21.0,4.88
Dillon,Brooks,SG,SF,,2024-02-04,,HOU,MIN,,,,4400,2,14.8,21.0,29.8,21.0,4.77
Naz,Reid,PF,C,,2024-02-04,,MIN,HOU,,,,4400,4,15.0,20.5,30.5,20.8,4.72
Peyton,Watson,PF,C,Q,2024-02-04,,DEN,POR,-13.5,221,117.3,4300,8,16.0,20.2,23.3,20.5,4.77
Jacob,Gilyard,PG,,,2024-02-04,,MEM,BOS,+17,221,102,4500,21,3.0,15.6,34.0,20.5,4.56
Malik,Beasley,SG,,,2024-02-04,,MIL,UTA,+1,247.5,123.3,4500,29,7.8,14.5,19.5,20.3,4.50
Thaddeus,Young,C,,,2024-02-04,,TOR,OKC,+9.5,235.5,113,4200,8,10.5,23.4,32.0,20.0,4.76
Kentavious,Caldwell-Pope,SG,,Q,2024-02-04,,DEN,POR,-13.5,221,117.3,4300,21,5.0,16.7,25.0,20.0,4.65
Simone,Fontecchio,SF,PF,,2024-02-04,,UTA,MIL,-1,247.5,124.3,4200,15,12.5,18.4,25.3,19.8,4.70
Obi,Toppin,PF,,,2024-02-04,,IND,CHA,,,,4100,18,7.0,23.7,46.3,19.8,4.82
Kelly,Olynyk,PF,C,,2024-02-04,,UTA,MIL,-1,247.5,124.3,4000,1,11.3,21.4,29.8,19.5,4.88
Derrick,Rose,PG,,,2024-02-04,,MEM,BOS,+17,221,102,4200,21,6.0,15.1,35.0,19.3,4.58
Jaden,McDaniels,SF,,,2024-02-04,,MIN,HOU,,,,4000,18,16.0,19.5,22.3,19.3,4.81
Luguentz,Dort,SF,,,2024-02-04,,OKC,TOR,-9.5,235.5,122.5,4300,30,7.3,12.4,19.3,19.0,4.42
Luke,Kornet,C,,Q,2024-02-04,,BOS,MEM,-17,221,119,4100,20,8.0,17.2,28.3,19.0,4.63
Keyonte,George,PG,,,2024-02-04,,UTA,MIL,-1,247.5,124.3,3900,29,11.5,19.9,31.5,18.8,4.81
Reggie,Jackson,PG,,,2024-02-04,,DEN,POR,-13.5,221,117.3,4000,27,7.3,16.1,28.0,18.8,4.69
Amir,Coffey,SF,PF,,2024-02-04,,LAC,MIA,-3.5,226,114.8,3900,20,10.0,19.9,29.0,18.8,4.81
Caleb,Martin,SF,PF,,2024-02-04,,MIA,LAC,+3.5,226,111.3,4000,11,12.3,16.1,20.5,18.5,4.63
Terance,Mann,PG,SG,,2024-02-04,,LAC,MIA,-3.5,226,114.8,4000,18,11.0,15.2,26.5,18.3,4.56
Sam,Hauser,SG,SF,,2024-02-04,,BOS,MEM,-17,221,119,3900,12,6.5,15.1,23.3,18.0,4.62
Kris,Dunn,PG,SF,,2024-02-04,,UTA,MIL,-1,247.5,124.3,3800,29,11.8,18.2,25.0,18.0,4.74
Jordan,Nwora,SF,PF,,2024-02-04,,TOR,OKC,+9.5,235.5,113,3800,10,1.8,18.3,47.3,18.0,4.74
Nickeil,Alexander-Walker,SG,SF,,2024-02-04,,MIN,HOU,,,,3800,30,10.3,18.2,29.5,18.0,4.74
Josh,Richardson,PG,,,2024-02-04,,MIA,LAC,+3.5,226,111.3,3700,5,15.0,22.8,39.8,17.8,4.80
Daniel,Theis,C,,,2024-02-04,,LAC,MIA,-3.5,226,114.8,3800,2,10.5,17.5,36.8,17.5,4.61
Duop,Reath,C,,,2024-02-04,,POR,DEN,+13.5,221,103.8,3900,17,6.8,12.5,21.0,17.5,4.49
Jae,Crowder,SF,PF,,2024-02-04,,MIL,UTA,+1,247.5,123.3,3800,3,7.0,11.0,17.8,17.0,4.47
Toumani,Camara,PF,,,2024-02-04,,POR,DEN,+13.5,221,103.8,3700,17,3.3,15.3,23.0,17.0,4.59
